number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000064,Active,true,1,0,6,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,3/3/2016 16:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,Resolved,true,1,0,7,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,3/3/2016 16:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,Closed,false,1,0,8,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 908,8/3/2016 17:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000065,New,true,0,0,0,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 265,29/2/2016 07:46,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,0,0,2,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 265,29/2/2016 07:55,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,0,0,3,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 967,29/2/2016 08:26,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,1,0,4,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 967,29/2/2016 08:26,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,2,0,5,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 798,29/2/2016 09:19,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,2,0,6,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 653,29/2/2016 09:26,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,3,0,7,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 653,29/2/2016 09:27,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,4,0,8,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 750,29/2/2016 11:17,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 12,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,5,0,9,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 798,29/2/2016 14:51,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,New,true,6,0,10,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 164,1/3/2016 16:52,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,Awaiting User Info,true,6,0,11,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 862,2/3/2016 15:17,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,Resolved,true,6,0,12,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 862,2/3/2016 15:21,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000065,Closed,false,6,0,13,true,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 908,7/3/2016 16:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00
INC0000066,New,true,0,0,0,true,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 60,29/2/2016 08:18,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/2016 14:37,7/3/2016 15:00
INC0000066,New,true,1,0,1,true,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 750,29/2/2016 11:10,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/2016 14:37,7/3/2016 15:00
INC0000066,Resolved,true,1,0,2,true,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 874,2/3/2016 14:37,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/2016 14:37,7/3/2016 15:00
INC0000066,Closed,false,1,0,3,true,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 908,7/3/2016 15:00,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/2016 14:37,7/3/2016 15:00
INC0000067,New,true,0,0,0,true,Caller 442,Opened by  180,29/2/2016 08:03,Created by 81,29/2/2016 08:05,Updated by 340,29/2/2016 08:05,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 215,2/3/2016 11:11,7/3/2016 12:00
INC0000067,New,true,0,0,1,true,Caller 442,Opened by  180,29/2/2016 08:03,Created by 81,29/2/2016 08:05,Updated by 340,29/2/2016 08:13,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 215,2/3/2016 11:11,7/3/2016 12:00
INC0000067,New,true,0,0,2,true,Caller 442,Opened by  180,29/2/2016 08:03,Created by 81,29/2/2016 08:05,Updated by 340,29/2/2016 08:15,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 215,2/3/2016 11:11,7/3/2016 12:00
INC0000067,Active,true,0,0,3,true,Caller 442,Opened by  180,29/2/2016 08:03,Created by 81,29/2/2016 08:05,Updated by 340,29/2/2016 08:16,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,true,false,Do Not Notify,?,?,?,?,code 1,Resolved by 215,2/3/2016 11:11,7/3/2016 12:00
